sadness,joy,fear,disgust,anger,score,label_state
0.025116,0.881024,0.004745,0.012375,0.01536,0.997163,1
0.005919,0.957283,0.016673,0.002467,0.002815,0.938406,1
0.577081,0.072678,0.055278,0.044724,0.391431,-0.833571,0
0.029625,0.798553,0.035184,0.013098,0.016544,0.945241,1
0.205603,0.197257,0.056033,0.056172,0.135039,-0.52602,1
0.297506,0.494256,0.052243,0.055136,0.076486,-0.621373,1
0.057478,0.11758,0.05482,0.195665,0.404297,0,1
0.430352,0.037228,0.113062,0.330981,0.391599,-0.950309,0
0.369861,0.079154,0.092269,0.303729,0.416375,-0.770218,1
0.014214,0.884961,0.044057,0.015076,0.017692,0.981078,1
0.266499,0.225914,0.0663,0.081019,0.109517,0,1
0.053069,0.212978,0.120931,0.033187,0.040718,-0.85019,1
0.097893,0.718751,0.110891,0.016947,0.035743,0.990327,1
0.063465,0.454413,0.251437,0.09849,0.043472,-0.900662,1
0.036669,0.311267,0.106833,0.045452,0.121028,0.884667,1
0.02059,0.038181,0.049826,0.053749,0.083969,-0.744465,1
0.046559,0.754021,0.036957,0.044059,0.051225,0.966633,1
0.042883,0.784297,0.0605,0.010856,0.018174,0.992852,1
0.457508,0.177853,0.084219,0.110956,0.096655,0.656571,1
0.311367,0.284455,0.116891,0.047414,0.212768,-0.794088,1
0.10538,0.658595,0.015489,0.115269,0.080812,0.993626,1
0.112682,0.308744,0.048883,0.236999,0.151052,-0.826963,1
0.479769,0.312519,0.095567,0.032028,0.066157,-0.849109,1
0.736159,0.024849,0.083469,0.136995,0.220812,-0.924243,0
0.038479,0.655306,0.085138,0.05119,0.106397,0.874032,1
0.107715,0.593491,0.05132,0.037011,0.092347,0.762627,1
0.139142,0.308076,0.006614,0.006795,0.089741,-0.717793,1
0.289599,0.109937,0.233967,0.108014,0.238678,-0.89071,1
0.148831,0.179551,0.091248,0.074744,0.088473,-0.812458,1
0.162344,0.453301,0.105504,0.030775,0.128745,-0.418137,1
0.410895,0.272711,0.209782,0.123358,0.062917,0.773107,1
0.159709,0.079524,0.175972,0.066133,0.202729,-0.556263,1
0.488095,0.003319,0.075674,0.157881,0.525925,-0.905167,0
0.038702,0.050746,0.010114,0.022635,0.047378,-0.65279,1
0.678068,0.149217,0.110398,0.078299,0.121091,-0.894916,1
0.19426,0.572992,0.07677,0.039141,0.061843,0.961906,1
0.571334,0.052816,0.249871,0.183057,0.087302,-0.949172,0
0.084916,0.671231,0.025595,0.020185,0.022415,0.956258,1
0.817359,0.024813,0.032447,0.004707,0.060242,-0.834215,0
0.009595,0.90881,0.008556,0.0276,0.008076,0.999734,1
0.250135,0.084041,0.045922,0.014477,0.010965,-0.892448,1
0.007677,0.486516,0.004921,0.003345,0.00417,0.913859,1
0.243012,0.012018,0.110326,0.494165,0.445327,-0.832862,0
0.00938,0.493679,0.009126,0.007007,0.006043,0,1
0.217287,0.031751,0.010471,0.037656,0.069558,0,1
0.228182,0.2138,0.053644,0.074574,0.142227,0,1
0.423296,0.039924,0.017318,0.036302,0.561515,-0.958218,0
0.402406,0.323738,0.060726,0.080152,0.078384,0.84025,1
0.81765,0.003571,0.08448,0.100961,0.101722,-0.974795,0
0.139574,0.567148,0.054608,0.12182,0.074446,-0.80592,1
0.05687,0.792471,0.038422,0.013473,0.02367,-0.37494,1
0.322131,0.298612,0.100786,0.098075,0.270589,0.860824,1
0.438695,0.253458,0.215168,0.017442,0.169949,0.34884,1
0.035457,0.88521,0.024423,0.009353,0.023847,0.959555,1
0.194015,0.327045,0.099113,0.06846,0.081985,0.870859,1
0.916667,0,0,0.931034,0.931034,-0.955224,0
0.613255,0.265647,0.102149,0.022955,0.090706,0.996194,1
0.016194,0.887381,0.018321,0.005626,0.009482,0.69695,1
0.652072,0.002664,0.218412,0.194668,0.245595,-0.898329,0
0.343507,0.161329,0.144012,0.192253,0.268768,0,1
0.036249,0.905888,0.004745,0.015422,0.014204,0.999417,1
0.150189,0.707125,0.046348,0.046789,0.057659,0.939596,1
0.414612,0.093251,0.040255,0.102087,0.149782,-0.681407,1
0.247024,0.20186,0.097563,0.106232,0.106125,0.480278,1
0.323315,0.071224,0.075012,0.27529,0.146365,-0.722994,1
0.667599,0.016678,0.428433,0.042741,0.108494,-0.906107,0
0.262268,0.342713,0.14208,0.030274,0.081594,0.807555,1
0.042071,0.711376,0.252197,0.000691,0.008821,0.928825,1
0.108039,0.724031,0.035749,0.016326,0.015337,0.636815,1
0.711259,0.060801,0.236846,0.024329,0.025536,-0.784934,1
0.534427,0.155909,0.256673,0.080521,0.180399,-0.822161,1
0.02149,0.917455,0.037402,0.008009,0.00782,0.986021,1
0.077742,0.719216,0.064711,0.04241,0.029675,0.707367,1
0.054038,0.916962,0.014532,0.002155,0.006263,0.930128,1
0.029951,0.907404,0.003282,0.00155,0.001603,0.904784,1
0.141434,0.034246,0.070891,0.832762,0.054968,0,1
0.125687,0.766374,0.010342,0.005533,0.012969,0.773204,1
0.069735,0.710385,0.00893,0.008616,0.01834,0.99229,1
0.29515,0.40916,0.125016,0.008215,0.059229,-0.869678,1
0.084795,0.536611,0.029365,0.189322,0.031118,0.987494,1
0.148831,0.181357,0.091248,0.074744,0.088473,-0.763472,1
0.348216,0.290467,0.037562,0.027431,0.068289,0.840707,1
0.13441,0.062337,0.114897,0.046988,0.057846,-0.694711,1
0.638634,0.274049,0.032399,0.018673,0.04692,-0.936626,1
0.00888,0.724153,0.013962,0.002822,0.007215,0.884568,1
0.087414,0.582862,0.088143,0.015786,0.032436,0.98641,1
0.198055,0.017563,0.210869,0.063389,0.056095,-0.677558,1
